その	その	A: []本は面白いです。<br>B: 本当ですね。	その	that	[0]
物	物[もの]	A: 甘い[]が好きですか。<br>B: はい、大好きです。	物	thing/object	[1]
そう	そう	A: 田中さんは来ないそうです。<br>B: []ですか。残念です。	そう	so/like that	[1]
何	何[なに]	A: 箱の中身は[]ですか。<br>B: プレゼントです。	何	what	[0]
私	私[わたし]	A: あなたはどこから来ましたか。<br>B: []は日本から来ました。	私	I/me	[2]
それ	それ	A: []は何ですか。<br>B: これは辞書です。	それ	that	[0]
この	この	A: []ペンは誰のですか。<br>B: 私のです。	この	this	[0]
これ	これ	A: []は美味しいですね。<br>B: はい、とても。	これ	this	[0]
時	時[とき]	A: 子供の[]、よく遊びました。<br>B: 私もです。	時	when/time	[2]
人	人[ひと]	A: あの[]は誰ですか。<br>B: 佐藤さんです。	人	person	[1]
良い	良[い]い	A: []天気ですね。<br>B: ええ、そうですね。	良い	good	[1]
今	今[いま]	A: []何時ですか。<br>B: 四時です。	今	now	[1]
自分	自分[じぶん]	A: []でやりましたか。<br>B: はい、一人でやりました。	自分	oneself	[2]
やはり	やはり	A: 彼も来ましたか。<br>B: ええ、[]来ましたね。	やはり	as expected	[3]
できる	できる	A: 日本語が[]ますか。<br>B: 少しなら。	できる	can/be able	[2]
また	また	A: []会いましょう。<br>B: はい、楽しみにしています。	また	again	[1]
方	方[ほう]	A: こちらの[]が先生です。<br>B: よろしくお願いします。	方	side/direction	[1]
訳	訳[わけ]	A: 遅れた[]を話してください。<br>B: すみません、寝坊しました。	訳	reason	[1]
へ	へ	A: どこ[]行きますか。<br>B: スーパーです。	へ	to/towards	[0]
どう	どう	A: 日本の生活は[]ですか。<br>B: 楽しいです。	どう	how	[1]
本当	本当[ほんとう]	A: それは[]ですか。<br>B: はい、嘘ではありません。	本当	truth/really	[2]
出す	出[だ]す	A: ゴミはいつ[]しますか。<br>B: 明日の朝です。	出し	take out/submit	[1]
日本	日本[にほん]	A: []に行ったことがありますか。<br>B: はい、一度あります。	日本	Japan	[2]
多い	多[おお]い	A: この店は客が[]ですね。<br>B: 人気がありますから。	多い	many/much	[1]
よく	よく	A: []映画を見ますか。<br>B: いいえ、あまり見ません。	よく	often/well	[1]
一つ	一[ひと]つ	A: 質問が[]あります。<br>B: 何ですか。	一つ	one	[2]
気	気[き]	A: []をつけて帰ってください。<br>B: ありがとう。	気	mind/spirit	[1]
より	より	A: バス[]電車の方が速いです。<br>B: そうですね。	より	than	[1]
ここ	ここ	A: []に座ってもいいですか。<br>B: どうぞ。	ここ	here	[1]
とても	とても	A: このケーキは[]おいしいです。<br>B: よかったですね。	とても	very	[2]
行う	行[おこな]う	A: 来週、試験を[]います。<br>B: 勉強しなきゃ。	行う	conduct/perform	[2]
一番	一番[いちばん]	A: 何が[]好きですか。<br>B: 寿司です。	一番	first/most	[2]
同じ	同[おな]じ	A: 私も[]意見です。<br>B: 気が合いますね。	同じ	same	[2]
必要	必要[ひつよう]	A: パスポートは[]ですか。<br>B: はい、要ります。	必要	necessary	[2]
仕事	仕事[しごと]	A: お[]は何ですか。<br>B: 教師です。	仕事	work/job	[2]
かもしれない	かもしれない	A: 明日は雨[]。<br>B: 傘を持っていこう。	かもしれません	maybe/perhaps(pure guessing)	[4]
彼	彼[かれ]	A: []は誰ですか。<br>B: 兄です。	彼	he	[1]
次	次[つぎ]	A: []の駅で降ります。<br>B: 私もです。	次	next	[2]
問題	問題[もんだい]	A: この[]は難しいですね。<br>B: 先生に聞きましょう。	問題	problem	[2]
目	目[め]	A: []が悪いです。<br>B: 眼鏡をかけますか。	目	eye	[1]
頃	頃[ころ]	A: 学生の[]、よく泳ぎました。<br>B: 私もです。	頃	about/time	[2]
いつ	いつ	A: 誕生日（たんじょうび）は[]ですか。<br>B: 来月です。	いつ	when	[1]
家	家[いえ]	A: []に帰ります。<br>B: 気をつけて。	家	house/home	[2]
付く	付[つ]く	A: 服にゴミが[]いていますよ。<br>B: ありがとう。	付き	stick/attach	[1]
日	日[ひ]	A: どんな[]が好きですか。<br>B: 晴れた日が好きです。	日	day	[1]
一人	一人[ひとり]	A: []で旅行しますか。<br>B: はい、気楽ですから。	一人	one person	[2]
人間	人間[にんげん]	A: []は考える葦（あし）である。<br>B: 難しい言葉ですね。	人間	human being	[2]
どこ	どこ	A: トイレは[]ですか。<br>B: あそこです。	どこ	where	[1]
時間	時間[じかん]	A: まだ[]がありますか。<br>B: もうありません。	時間	time/hour	[2]
ただ	ただ	A: これは[]ですか。<br>B: はい、無料です。	ただ	only	[1]
違う	違[ちが]う	A: これとそれは[]いますか。<br>B: はい、別物です。	違う	different/wrong	[2]
言葉	言葉[ことば]	A: 知らない[]があります。<br>B: 辞書で調べましょう。	言葉	word/language	[2]
少し	少[すこ]し	A: []疲れました。<br>B: 休みましょう。	少し	a little	[2]
手	手[て]	A: []を洗ってください。<br>B: はい、分かりました。	手	hand	[1]
形	形[かた]	A: 面白い[]をしていますね。<br>B: 星の形です。	形	form/shape	[2]
かなり	かなり	A: 今日は[]寒いですね。<br>B: 風邪を引かないで。	かなり	considerably/quite	[2]
最初	最初[さいしょ]	A: []に何をしますか。<br>B: まず手を洗います。	最初	first	[2]
感じる	感[かん]じる	A: 寒さを[]ますか。<br>B: はい、冷えますね。	感じ	feel	[2]
しか	しか	A: 百円[]ありません。<br>B: 何も買えませんね。	しか	only/merely	[1]
大きな	大[おお]きな	A: []家ですね。<br>B: 祖父の家です。	大きな	big/large	[2]
最近	最近[さいきん]	A: []どうですか。<br>B: 忙しいです。	最近	recently	[2]
特に	特[とく]に	A: 果物の中で何が好きですか。<br>B: []リンゴが好きです。	特に	especially	[2]
誰	誰[だれ]	A: あの人は[]ですか。<br>B: 知りません。	誰	who	[1]
友達	友達[ともだち]	A: 週末は[]と遊びます。<br>B: いいですね。	友達	friend	[2]
一緒	一緒[いっしょ]	A: []に行きませんか。<br>B: 喜んで。	一緒	together	[2]
あげる	あげる	A: これを[]ます。<br>B: ありがとう。	あげる	give/raise	[2]
現在	現在[げんざい]	A: []の気温は何度ですか。<br>B: 20度です。	現在	now/present	[2]
