#notetype:Japanese_Mined_Vocab
#deck:Japanese::Todoku::温泉の町別府
#separator:Comma
#html:true
#tags column:8
#columns:VocabID,TargetWord,Reading,Meaning,Sentence,SentenceTranslation,Notes,Tags
003_0001,昔,むかし,long ago; in the past,別府の温泉は<b>昔</b>から、別府に住んでいる人や旅行客に愛されて来ました。,Beppu's hot springs have long been loved by the people who live in Beppu and by travelers.,昔から = since long ago; for a long time.,
003_0002,建てる,たてる,to build; to construct,今の建物は1938年に<b>建てられました</b>。,The current building was built in 1938.,Passive past form: 建てられました = was built.,
003_0003,量,りょう,amount; quantity,別府の温泉は、<b>量</b>も種類も多くて、日本一と言われています。,Beppu's hot springs are said to be the best in Japan both in quantity and in variety.,,
003_0004,種類,しゅるい,kind; type; variety,別府の温泉は、量も<b>種類</b>も多くて、日本一と言われています。,Beppu's hot springs are said to be the best in Japan both in quantity and in variety.,,
003_0005,と言われている,といわれている,is said to; is reputed to,別府の温泉は、量も種類も多くて、日本一<b>と言われています</b>。,Beppu's hot springs are said to be the best in Japan because they are abundant and varied.,Polite present form of the common reported-expression chunk と言われている.,
003_0006,水着,みずぎ,swimsuit; bathing suit,海を見ながら、<b>水着</b>で入れます。,You can get in wearing a swimsuit while looking out at the sea.,,
003_0007,タイプ,タイプ,type; kind,別府には色々な<b>タイプ</b>の温泉があります。,"In Beppu, there are many different kinds of hot springs.",,
003_0008,泥,どろ,mud,<b>泥</b>の温泉です。,It's a muddy hot spring.,,
003_0009,肌,はだ,skin; complexion,泥に入ると、<b>肌</b>が綺麗になります。,"When you soak in the mud bath, your skin becomes beautiful.",,
003_0010,砂,すな,sand,これは砂湯です。<b>砂</b>の温泉です。,This is a sand bath. It's a hot spring made of sand.,,
003_0011,体,からだ,body,砂は少し重いですが、<b>体</b>がとても暖かくなって、気持ちがいいです。,"The sand is a little heavy, but your body gets very warm, and it feels great.",,
003_0012,熱,ねつ,heat,温泉の<b>熱</b>で体を温めます。,The heat from the hot spring warms the body.,,
003_0013,草,くさ,grass; plant; herb,鉄輪むし湯では、服を着たまま、薬の<b>草</b>、薬草の上に寝ます。,"At Kannawa Steam Bath, you lie down on top of medicinal grass—medicinal herbs—while still wearing your clothes.","Here, 草 refers to herbs/plants rather than lawn grass.",
003_0014,薬草,やくそう,medicinal herb; medicinal plant,鉄輪むし湯では、服を着たまま、薬の草、<b>薬草</b>の上に寝ます。,"At Kannawa Steam Bath, you lie down on top of medicinal herbs while still wearing your clothes.",薬の草 in the sentence restates 薬草 in simpler words.,
003_0015,湯気,ゆげ,steam; vapor,薬草の下から温泉の温かい<b>湯気</b>が出てきます。,Warm steam from the hot spring comes up from beneath the medicinal herbs.,Refers to visible steam rising from the hot spring.,
003_0016,出てくる,でてくる,to come out; to emerge; to come up,薬草の下から温泉の温かい湯気が<b>出てきます</b>。,Warm steam from the hot spring comes up from beneath the medicinal herbs.,出る = something goes out<br>出てくる = something comes out toward the speaker / comes out into view<br>てくる is also used to show the change of the state. for example: 太陽が雲の間から出て来ました。,
003_0017,お喋りする,おしゃべりする,to chat; to talk,足湯に入りながら<b>おしゃべりする</b>のも楽しいです。,It's also fun to chat while soaking your feet in a footbath.,Sentence uses the hiragana spelling おしゃべりする.,
003_0018,入れる,いれる,to put in; to place into,手だけ温泉の中に<b>入れます</b>。,You can put just your hands into the hot spring.,Transitive counterpart of 入る; here 手を入れる = put one's hands in.,
003_0019,茶色い,ちゃいろい,brown; brown-colored,少し<b>茶色い</b>温泉、白い温泉、青い温泉。,"There are slightly brown hot springs, white hot springs, and blue hot springs.",い-adjective meaning brown-colored.,
003_0020,病気,びょうき,illness; disease,温泉は色々な<b>病気</b>を治すと言われています。,Hot springs are said to cure all kinds of illnesses.,色々な病気 = all kinds of illnesses.,
003_0021,治す,なおす,to cure; to heal,温泉は色々な病気を<b>治す</b>と言われています。,Hot springs are said to cure all kinds of illnesses.,Transitive verb; compare 治る = to get better.,
003_0022,ストレス,ストレス,stress,温泉は<b>ストレス</b>も解消してくれます。,Hot springs help relieve stress too.,Common katakana loanword for mental or emotional stress.,
003_0023,解消する,かいしょうする,to relieve; to eliminate,温泉はストレスも<b>解消して</b>くれます。,Hot springs help relieve stress too.,"Often used for resolving or relieving things like stress, shortages, or dissatisfaction.",
003_0024,知り合った人,しりあったひと,a person you met; someone you became acquainted with,心も体も綺麗にして、温泉で<b>知り合った人</b>とお喋りするのも楽しいかもしれません。,"It might also be fun to clean both your mind and body, then chat with people you met at the hot spring.",知 (し) り合 (あ) う = to get to know each other<br>知 (し) り合 (あ) った = got acquainted / met<br>知 (し) り合 (あ) った人 (ひと) = a person you met / a person you became acquainted with,
